id,customer_id,transaction_date,amount_usd,currency,destination_suburb,destination_city,transaction_type,description,reference_number
57,18,2025/01/07 11:10,15900,ZAR,Ivory Park,Johannesburg,PAYMENT,Professional services,TXN-2025-000226
58,10,2025/01/07 11:24,20950,ZAR,Centurion,Pretoria,DEPOSIT,Loan repayment,TXN-2025-001884
59,1,2025/01/07 12:36,23402.12,ZAR,Krugersdorp,Durban,PAYMENT,Legal fees,TXN-2025-001450
60,93,2025/01/07 15:07,4851.95,ZAR,Sea Point,Cape Town,PAYMENT,Trade payment,TXN-2025-001930
61,132,2025/01/07 18:41,46924.55,ZAR,Waterkloof,Pretoria,DEPOSIT,Investment funds,TXN-2025-001477
62,116,2025/01/07 19:32,12500,ZAR,Mossel Bay,Johannesburg,DEPOSIT,Training costs,TXN-2025-001444
63,72,2025/01/08 10:26,12586.55,ZAR,Plettenberg Bay,Pretoria,DEPOSIT,Investment funds,TXN-2025-001372
64,74,2025/01/08 12:18,5658.13,ZAR,Waterkloof,Pretoria,PAYMENT,Supplier payment,TXN-2025-001373
65,115,2025/01/08 12:45,6321.65,ZAR,Benoni,Cape Town,DEPOSIT,Stock purchase,TXN-2025-001565
66,147,2025/01/08 15:54,934.6,ZAR,Alberton,Durban,DEPOSIT,Legal fees,TXN-2025-002131
67,199,2025/01/08 16:21,4785.55,ZAR,Salt Rock,Pretoria,PAYMENT,Stock purchase,TXN-2025-000152
68,47,2025/01/08 16:56,3540.12,ZAR,Brooklyn,Pretoria,DEPOSIT,Investment capital,TXN-2025-001303
69,103,2025/01/08 17:25,10186.77,ZAR,Plettenberg Bay,Pretoria,TRANSFER,Stock purchase,TXN-2025-000071
70,100,2025/01/08 17:44,20950,ZAR,Camps Bay,Cape Town,TRANSFER,Entertainment costs,TXN-2025-000089
71,10,2025/01/09 09:12,9606.44,ZAR,Kimberley Central,Johannesburg,WITHDRAWAL,Insurance premium,TXN-2025-001896
72,121,2025/01/09 10:55,12782.21,ZAR,Krugersdorp,Pretoria,WITHDRAWAL,Business payment,TXN-2025-002572
73,141,2025/01/09 11:00,4666.71,ZAR,Hermanus,Johannesburg,WITHDRAWAL,Maintenance costs,TXN-2025-001045
74,78,2025/01/09 12:01,13581.71,ZAR,Randburg,Johannesburg,PAYMENT,Investment funds,TXN-2025-000744
75,140,2025/01/09 14:43,1196.74,ZAR,Kloof,Johannesburg,DEPOSIT,IT services,TXN-2025-000505
76,68,2025/01/09 14:44,8000,ZAR,Constantia,Cape Town,TRANSFER,IT services,TXN-2025-002509
77,32,2025/01/09 15:23,8000,ZAR,Boksburg,Cape Town,DEPOSIT,Maintenance costs,TXN-2025-000597
78,123,2025/01/09 18:34,2232.93,ZAR,Somerset West,Durban,DEPOSIT,Vehicle purchase,TXN-2025-002634
79,109,2025/01/10 08:11,741.7,ZAR,Khayelitsha,Cape Town,TRANSFER,Software license,TXN-2025-000817
80,99,2025/01/10 08:45,26351.22,ZAR,East London Central,Cape Town,PAYMENT,Accounting services,TXN-2025-002677
81,78,2025/01/10 09:11,32661.94,ZAR,Green Point,Cape Town,DEPOSIT,Training costs,TXN-2025-000849
82,17,2025/01/10 14:05,10943.86,ZAR,Umhlanga,Durban,TRANSFER,Trade payment,TXN-2025-000926
83,156,2025/01/10 14:48,32797.06,ZAR,Pietermaritzburg,Durban,DEPOSIT,Export proceeds,TXN-2025-001121
84,105,2025/01/10 17:13,5274.1,ZAR,Orange Farm,Johannesburg,TRANSFER,Sponsorship fee,TXN-2025-000090
85,194,2025/01/10 17:18,7105.88,ZAR,Hillcrest,Johannesburg,TRANSFER,Training costs,TXN-2025-002970
86,172,2025/01/10 17:25,886.65,ZAR,Edenvale,Johannesburg,PAYMENT,Furniture purchase,TXN-2025-000076
87,147,2025/01/10 17:29,6816.45,ZAR,Mabopane,Pretoria,DEPOSIT,Service payment,TXN-2025-002338
88,45,2025/01/11 11:38,4563.65,ZAR,Ivory Park,Johannesburg,DEPOSIT,Medical expenses,TXN-2025-000574
89,168,2025/01/11 14:30,14308.17,ZAR,Durban North,Durban,TRANSFER,Investment funds,TXN-2025-002855
90,1,2025/01/11 14:40,20990,ZAR,Krugersdorp,Pretoria,WITHDRAWAL,Accounting services,TXN-2025-000251
91,148,2025/01/11 15:27,1539.02,ZAR,George Central,Cape Town,DEPOSIT,Software license,TXN-2025-002597
92,2,2025/01/11 18:07,839.38,ZAR,Phoenix,Durban,WITHDRAWAL,Rental payment,TXN-2025-000195
93,93,2025/01/11 19:05,7900,ZAR,Tembisa,Pretoria,PAYMENT,Entertainment costs,TXN-2025-001309
94,157,2025/01/11 19:40,660.97,ZAR,Polokwane,Pretoria,TRANSFER,Investment capital,TXN-2025-000656
95,41,2025/01/11 19:51,465.49,ZAR,Tsakane,Johannesburg,WITHDRAWAL,Legal fees,TXN-2025-002464
96,174,2025/01/12 11:01,448.68,ZAR,Umhlanga Rocks,Johannesburg,PAYMENT,Rental payment,TXN-2025-001494
97,171,2025/01/12 13:29,8000,ZAR,Umlazi,Durban,PAYMENT,Supplier payment,TXN-2025-000631
98,38,2025/01/12 18:01,10000,ZAR,Sandton,Johannesburg,DEPOSIT,Stock purchase,TXN-2025-000064
99,156,2025/01/12 18:20,11709.36,ZAR,Lynnwood,Cape Town,TRANSFER,Personal transfer,TXN-2025-000577
100,112,2025/01/12 19:20,7950,ZAR,Paarl,Johannesburg,TRANSFER,Trade payment,TXN-2025-002315
101,115,2025/01/12 19:43,25950,ZAR,Pietermaritzburg,Pretoria,PAYMENT,Import payment,TXN-2025-000513
102,196,2025/01/13 08:03,8289.66,ZAR,Randburg,Johannesburg,PAYMENT,Equipment lease,TXN-2025-002644
103,134,2025/01/13 09:29,9900,ZAR,Somerset West,Johannesburg,DEPOSIT,Equipment purchase,TXN-2025-001356
104,37,2025/01/13 09:49,34097.12,ZAR,Hermanus,Johannesburg,DEPOSIT,Subscription fee,TXN-2025-001113
105,39,2025/01/13 10:07,6500,ZAR,Pietermaritzburg,Cape Town,WITHDRAWAL,Commission payment,TXN-2025-002205
106,106,2025/01/13 11:43,30507.05,ZAR,Phoenix,Durban,TRANSFER,Legal fees,TXN-2025-000893
107,189,2025/01/13 12:01,9410.7,ZAR,Benoni,Cape Town,PAYMENT,Consulting fee,TXN-2025-002945
108,51,2025/01/13 13:29,936.64,ZAR,George Central,Johannesburg,WITHDRAWAL,Family support,TXN-2025-002217
109,10,2025/01/13 15:42,6990,ZAR,Polokwane,Johannesburg,TRANSFER,Furniture purchase,TXN-2025-002366
110,131,2025/01/13 17:05,13403.91,ZAR,Claremont,Cape Town,PAYMENT,Business payment,TXN-2025-001109
111,6,2025/01/13 17:33,9289.75,ZAR,Observatory,Cape Town,TRANSFER,Equipment lease,TXN-2025-000649
112,92,2025/01/13 17:34,3899.79,ZAR,Umhlanga Rocks,Durban,DEPOSIT,Marketing services,TXN-2025-000688
113,80,2025/01/13 18:29,256.18,ZAR,Tembisa,Cape Town,TRANSFER,Marketing services,TXN-2025-002363
114,50,2025/01/14 09:04,37932.94,ZAR,Manenberg,Cape Town,DEPOSIT,Import payment,TXN-2025-000549
115,123,2025/01/14 09:29,18451.77,ZAR,Hillbrow,Johannesburg,DEPOSIT,Personal transfer,TXN-2025-002982
116,156,2025/01/14 09:49,25990,ZAR,Kimberley Central,Cape Town,PAYMENT,Subscription fee,TXN-2025-002397
117,20,2025/01/14 12:04,1101.64,ZAR,Salt Rock,Johannesburg,TRANSFER,Investment capital,TXN-2025-001033
118,192,2025/01/14 13:27,15999,ZAR,Sandton,Johannesburg,PAYMENT,Trade payment,TXN-2025-002878
119,117,2025/01/14 13:51,23964.52,ZAR,Tsakane,Johannesburg,TRANSFER,Commission payment,TXN-2025-000465
120,162,2025/01/14 18:29,31644.47,ZAR,Ballito,Durban,PAYMENT,Commission payment,TXN-2025-002171
121,91,2025/01/14 19:46,5950,ZAR,Roodepoort,Durban,WITHDRAWAL,Personal transfer,TXN-2025-000008
122,43,2025/01/14 19:54,795.98,ZAR,Richards Bay,Pretoria,TRANSFER,Equipment purchase,TXN-2025-000410
123,200,2025/01/15 08:04,6999,ZAR,Thokoza,Johannesburg,PAYMENT,Commission payment,TXN-2025-000709
124,174,2025/01/15 12:55,3821.71,ZAR,Observatory,Cape Town,WITHDRAWAL,Insurance premium,TXN-2025-000276
125,81,2025/01/15 12:57,442.95,ZAR,East London Central,Johannesburg,DEPOSIT,Family support,TXN-2025-000176
126,160,2025/01/15 14:15,20500,ZAR,East London Central,Pretoria,PAYMENT,School fees,TXN-2025-002714
127,176,2025/01/16 09:32,33640.02,ZAR,Katlehong,Johannesburg,WITHDRAWAL,School fees,TXN-2025-001403
128,2,2025/01/16 13:53,5069.03,ZAR,Plettenberg Bay,Johannesburg,WITHDRAWAL,Vehicle purchase,TXN-2025-002177
129,11,2025/01/16 14:53,8999,ZAR,Sandton,Johannesburg,TRANSFER,Sponsorship fee,TXN-2025-001021
130,29,2025/01/16 15:21,31067.19,ZAR,Mitchells Plain,Cape Town,TRANSFER,Maintenance costs,TXN-2025-001036
131,14,2025/01/16 15:39,6000,ZAR,Mabopane,Pretoria,TRANSFER,Stock purchase,TXN-2025-000444
132,2,2025/01/16 18:13,18765.85,ZAR,Bloemfontein Central,Pretoria,TRANSFER,Professional services,TXN-2025-002476
133,189,2025/01/16 18:29,1405.97,ZAR,Brooklyn,Pretoria,WITHDRAWAL,Rental payment,TXN-2025-000259
134,166,2025/01/16 19:22,25000,ZAR,Orange Farm,Johannesburg,PAYMENT,Marketing services,TXN-2025-001738
135,50,2025/01/17 08:34,7445.23,ZAR,Kimberley Central,Johannesburg,DEPOSIT,Stock purchase,TXN-2025-001017
136,110,2025/01/17 15:07,15567.99,ZAR,Newlands,Cape Town,DEPOSIT,Subscription fee,TXN-2025-002570
137,93,2025/01/17 16:06,7503.88,ZAR,Manenberg,Cape Town,DEPOSIT,Office equipment,TXN-2025-001574
138,69,2025/01/17 16:19,26790.11,ZAR,Randburg,Johannesburg,WITHDRAWAL,Marketing services,TXN-2025-000264
139,23,2025/01/17 16:28,369.44,ZAR,Plettenberg Bay,Durban,DEPOSIT,Legal fees,TXN-2025-001920
140,14,2025/01/17 18:06,183.58,ZAR,Alexandra,Johannesburg,WITHDRAWAL,Professional services,TXN-2025-001123
141,57,2025/01/18 08:07,9377.08,ZAR,Berea,Johannesburg,TRANSFER,Equipment purchase,TXN-2025-001151
142,127,2025/01/18 09:47,10900,ZAR,Daveyton,Johannesburg,DEPOSIT,Equipment lease,TXN-2025-001620
143,25,2025/01/18 10:46,30471.14,ZAR,Berea,Johannesburg,PAYMENT,Business payment,TXN-2025-000643
144,30,2025/01/18 11:34,39755.07,ZAR,Arcadia,Pretoria,DEPOSIT,Family support,TXN-2025-001387
145,74,2025/01/18 11:40,48859.35,ZAR,Bloemfontein Central,Durban,PAYMENT,Service payment,TXN-2025-001323
146,94,2025/01/18 11:46,27770.62,ZAR,Nyanga,Cape Town,DEPOSIT,Construction materials,TXN-2025-001950
147,178,2025/01/18 12:33,32900.32,ZAR,Richards Bay,Johannesburg,DEPOSIT,Property deposit,TXN-2025-001375
148,95,2025/01/18 13:46,14730.94,ZAR,Mossel Bay,Durban,TRANSFER,Property deposit,TXN-2025-000127
149,78,2025/01/18 16:24,15999,ZAR,Manenberg,Cape Town,DEPOSIT,Rental payment,TXN-2025-002061
150,5,2025/01/18 16:57,394.63,ZAR,George Central,Pretoria,PAYMENT,Accounting services,TXN-2025-000527
151,125,2025/01/18 17:13,21901.09,ZAR,Rosebank,Johannesburg,WITHDRAWAL,IT services,TXN-2025-001473
152,37,2025/01/18 17:35,8950,ZAR,Hillcrest,Pretoria,PAYMENT,Investment funds,TXN-2025-002089
153,135,2025/01/18 17:36,46736.78,ZAR,Richards Bay,Cape Town,PAYMENT,Utility payment,TXN-2025-000142
154,179,2025/01/19 09:06,8990,ZAR,Hermanus,Johannesburg,WITHDRAWAL,Professional services,TXN-2025-000217
155,133,2025/01/19 10:24,2910.16,ZAR,Sandton,Johannesburg,WITHDRAWAL,Entertainment costs,TXN-2025-000998
156,163,2025/01/19 10:52,4128.52,ZAR,Durban North,Durban,PAYMENT,Family support,TXN-2025-000942
157,174,2025/01/19 10:56,4889.69,ZAR,Polokwane,Durban,WITHDRAWAL,Equipment lease,TXN-2025-001395
158,117,2025/01/19 13:01,904.84,ZAR,Atteridgeville,Pretoria,DEPOSIT,Event payment,TXN-2025-001383
159,95,2025/01/19 14:05,49968.91,ZAR,Stellenbosch,Durban,DEPOSIT,Supplier payment,TXN-2025-000131
160,16,2025/01/19 14:06,1918.1,ZAR,Rosebank,Johannesburg,TRANSFER,Investment capital,TXN-2025-002408
161,90,2025/01/19 14:59,945.78,ZAR,Roodepoort,Pretoria,TRANSFER,School fees,TXN-2025-000782
162,113,2025/01/19 18:43,10000,ZAR,Morningside,Durban,PAYMENT,Donation,TXN-2025-002409
163,81,2025/01/20 08:54,260.98,ZAR,Roodepoort,Cape Town,TRANSFER,Marketing services,TXN-2025-001666
164,28,2025/01/20 09:25,1298.25,ZAR,Centurion,Pretoria,WITHDRAWAL,Software license,TXN-2025-000882
165,113,2025/01/20 10:29,777.49,ZAR,Lynnwood,Cape Town,DEPOSIT,Savings transfer,TXN-2025-002999
166,76,2025/01/20 10:40,6564.77,ZAR,Lynnwood,Cape Town,WITHDRAWAL,Furniture purchase,TXN-2025-001553
167,123,2025/01/20 10:56,217.32,ZAR,Green Point,Cape Town,PAYMENT,Furniture purchase,TXN-2025-000038
168,86,2025/01/20 10:58,9835.57,ZAR,Vosloorus,Johannesburg,PAYMENT,Stock purchase,TXN-2025-001348
169,150,2025/01/20 11:06,5999,ZAR,Polokwane,Pretoria,WITHDRAWAL,Supplier payment,TXN-2025-000110
170,20,2025/01/20 13:11,11332.63,ZAR,Katlehong,Johannesburg,DEPOSIT,Travel expenses,TXN-2025-000979
171,168,2025/01/20 13:31,14827.59,ZAR,Pretoria Central,Pretoria,WITHDRAWAL,Stock purchase,TXN-2025-002569
172,18,2025/01/20 17:30,6990,ZAR,Green Point,Cape Town,DEPOSIT,Service payment,TXN-2025-002031
173,30,2025/01/20 19:31,601.76,ZAR,Fourways,Johannesburg,PAYMENT,IT services,TXN-2025-001846
174,172,2025/01/20 19:54,391.76,ZAR,Paarl,Johannesburg,PAYMENT,Professional services,TXN-2025-002262
175,22,2025/01/21 09:05,3659.49,ZAR,Sea Point,Cape Town,TRANSFER,Supplier payment,TXN-2025-001472
176,106,2025/01/21 09:09,15950,ZAR,Salt Rock,Durban,TRANSFER,Rental payment,TXN-2025-002633
177,13,2025/01/21 11:28,16048.16,ZAR,Benoni,Johannesburg,WITHDRAWAL,Service payment,TXN-2025-001366
178,199,2025/01/21 13:13,2122.06,ZAR,Kimberley Central,Durban,DEPOSIT,Import payment,TXN-2025-001089
179,100,2025/01/21 15:15,42146.36,ZAR,George Central,Johannesburg,TRANSFER,Equipment lease,TXN-2025-000663
180,159,2025/01/21 15:58,13938.92,ZAR,Claremont,Pretoria,DEPOSIT,Legal fees,TXN-2025-001264
181,51,2025/01/21 18:12,1777.15,ZAR,Bloemfontein Central,Pretoria,TRANSFER,Professional services,TXN-2025-000694
182,118,2025/01/21 18:24,7507.15,ZAR,Mossel Bay,Cape Town,TRANSFER,Subscription fee,TXN-2025-001873
183,20,2025/01/21 18:37,550.91,ZAR,Constantia,Cape Town,PAYMENT,Stock purchase,TXN-2025-002096
184,7,2025/01/21 18:50,27419.24,ZAR,Nelspruit,Pretoria,PAYMENT,Equipment purchase,TXN-2025-001262
185,105,2025/01/21 19:13,709.33,ZAR,Roodepoort,Pretoria,TRANSFER,Vehicle purchase,TXN-2025-001944
186,152,2025/01/21 19:34,462.11,ZAR,Benoni,Durban,PAYMENT,Office equipment,TXN-2025-001406
187,107,2025/01/22 08:36,6393.64,ZAR,Morningside,Durban,DEPOSIT,Maintenance costs,TXN-2025-001322
188,52,2025/01/22 08:49,5441.47,ZAR,Edenvale,Pretoria,WITHDRAWAL,Import payment,TXN-2025-001771
189,93,2025/01/22 09:18,863.55,ZAR,Fourways,Johannesburg,DEPOSIT,Maintenance costs,TXN-2025-001530
190,151,2025/01/22 09:55,13235.62,ZAR,Bloemfontein Central,Pretoria,DEPOSIT,Utility payment,TXN-2025-002578
191,18,2025/01/22 13:12,338.16,ZAR,La Lucia,Johannesburg,WITHDRAWAL,Family support,TXN-2025-002051
192,10,2025/01/22 13:50,1853.17,ZAR,Germiston,Durban,WITHDRAWAL,Subscription fee,TXN-2025-000010
193,46,2025/01/22 14:44,3714.67,ZAR,Bloemfontein Central,Cape Town,WITHDRAWAL,Export proceeds,TXN-2025-000087
194,186,2025/01/22 17:10,2432.85,ZAR,Somerset West,Johannesburg,DEPOSIT,Loan repayment,TXN-2025-001803
195,34,2025/01/22 18:02,875.44,ZAR,Ballito,Durban,DEPOSIT,Equipment purchase,TXN-2025-001700
196,191,2025/01/22 18:57,9635.14,ZAR,Chatsworth,Durban,DEPOSIT,Entertainment costs,TXN-2025-000633
197,149,2025/01/23 10:05,20950,ZAR,Somerset West,Durban,DEPOSIT,Professional services,TXN-2025-000222
198,154,2025/01/23 10:15,8030.91,ZAR,Sandton,Johannesburg,TRANSFER,Gift payment,TXN-2025-002425
199,62,2025/01/23 10:53,8900,ZAR,Chatsworth,Durban,WITHDRAWAL,IT services,TXN-2025-002869
200,81,2025/01/23 11:16,11711.42,ZAR,Edenvale,Johannesburg,WITHDRAWAL,Construction materials,TXN-2025-000520
201,167,2025/01/23 12:49,3483.89,ZAR,Alberton,Durban,PAYMENT,Family support,TXN-2025-001608
202,85,2025/01/23 13:50,4026.32,ZAR,Phoenix,Durban,TRANSFER,School fees,TXN-2025-002267
203,103,2025/01/23 14:30,527.9,ZAR,Ballito,Durban,PAYMENT,Event payment,TXN-2025-001447
204,62,2025/01/23 15:27,4801.49,ZAR,Germiston,Pretoria,TRANSFER,Software license,TXN-2025-000032
205,178,2025/01/23 15:28,9793.56,ZAR,Manenberg,Cape Town,DEPOSIT,Legal fees,TXN-2025-000845
206,170,2025/01/23 15:46,5999,ZAR,Stellenbosch,Pretoria,DEPOSIT,Stock purchase,TXN-2025-002186
207,196,2025/01/23 16:22,10950,ZAR,Bedfordview,Pretoria,PAYMENT,Equipment lease,TXN-2025-001874
208,150,2025/01/23 19:25,26011.98,ZAR,Richards Bay,Pretoria,TRANSFER,Legal fees,TXN-2025-001483
209,78,2025/01/24 08:43,40060.14,ZAR,Krugersdorp,Johannesburg,TRANSFER,Software license,TXN-2025-000600
210,171,2025/01/24 14:05,3738.96,ZAR,Pietermaritzburg,Johannesburg,DEPOSIT,Rental payment,TXN-2025-000892
211,7,2025/01/24 14:46,4244.98,ZAR,La Lucia,Johannesburg,WITHDRAWAL,Export proceeds,TXN-2025-001693
212,65,2025/01/24 15:03,25900,ZAR,Stellenbosch,Johannesburg,DEPOSIT,Property deposit,TXN-2025-000897
213,38,2025/01/24 16:47,306.25,ZAR,Thokoza,Johannesburg,PAYMENT,Equipment lease,TXN-2025-000188
214,188,2025/01/24 17:36,20619.67,ZAR,Rosebank,Johannesburg,PAYMENT,Service payment,TXN-2025-002334
215,126,2025/01/24 18:33,8909.28,ZAR,Observatory,Cape Town,WITHDRAWAL,Utility payment,TXN-2025-001318
216,29,2025/01/24 19:14,3496.32,ZAR,Ballito,Durban,DEPOSIT,Office equipment,TXN-2025-001948
217,94,2025/01/24 19:58,911.54,ZAR,Kimberley Central,Cape Town,PAYMENT,School fees,TXN-2025-002456
218,96,2025/01/25 08:43,20500,ZAR,Alexandra,Johannesburg,WITHDRAWAL,Equipment lease,TXN-2025-001626
219,65,2025/01/25 13:51,863.4,ZAR,Tembisa,Johannesburg,WITHDRAWAL,Construction materials,TXN-2025-002728
220,177,2025/01/25 14:47,979.14,ZAR,Umhlanga Rocks,Durban,PAYMENT,Equipment purchase,TXN-2025-000613
221,162,2025/01/25 14:54,6950,ZAR,Knysna,Cape Town,TRANSFER,Travel expenses,TXN-2025-002631
222,171,2025/01/25 17:32,3149.26,ZAR,Claremont,Johannesburg,TRANSFER,Import payment,TXN-2025-000295
223,95,2025/01/25 19:09,28974.89,ZAR,George Central,Johannesburg,WITHDRAWAL,Property deposit,TXN-2025-002486
224,27,2025/01/26 10:03,9950,ZAR,Bloemfontein Central,Johannesburg,PAYMENT,Investment capital,TXN-2025-002893
225,50,2025/01/26 10:08,503.89,ZAR,Ballito,Durban,PAYMENT,Entertainment costs,TXN-2025-000279
226,11,2025/01/26 10:25,290.66,ZAR,Roodepoort,Johannesburg,WITHDRAWAL,Construction payment,TXN-2025-000459
227,52,2025/01/26 11:05,130.43,ZAR,Westville,Johannesburg,DEPOSIT,Accounting services,TXN-2025-001084
228,132,2025/01/26 14:39,5655.58,ZAR,Somerset West,Johannesburg,PAYMENT,Export proceeds,TXN-2025-001269
